,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,galaxy,v3k,mod0,dl_mpc,z,d_mpc
0,0,0,0,0,0,0,0,0,0.0,PGC4689210                     ,984.2,30.046,10.214097519898491,3.2829378249402124e-06,10.21406398776148
1,1,1,1,1,1,1,1,1,1.0,NGC3522                        ,1536.3,32.03,25.468302525850444,5.12454519452921e-06,25.468172013051937
2,2,2,2,2,2,2,2,2,2.0,NGC3951                        ,6769.7,34.532,80.61205638638903,2.25812885526293e-05,80.61023610338728
3,3,3,3,3,3,3,3,3,3.0,IC0745                         ,1496.2,31.287,18.088393616437546,4.9907859923547515e-06,18.088303341586606
4,4,4,4,4,4,4,4,4,4.0,IC0755                         ,1868.5,31.272,17.96387399063889,6.232645118777471e-06,17.96376202888517
5,5,5,5,5,5,5,5,5,5.0,NGC4197                        ,2426.7,31.992,25.026493257310822,8.094599898173555e-06,25.026290679500836
6,6,6,6,6,6,6,6,6,6.0,IC3059                         ,592.8,31.882,23.79030445880631,1.977367956334645e-06,23.790257416713622
7,7,7,7,7,7,7,7,7,7.0,PGC039159                      ,2420.3,29.83,9.24698173938221,8.073251796080875e-06,9.246907086772964
8,8,8,8,8,8,8,8,8,8.0,NGC4206                        ,1036.2,31.379,18.871220971170995,3.456391154443252e-06,18.871155745075203
9,9,9,9,9,9,9,9,9,9.0,NGC4207                        ,948.1,31.284,18.06342083169977,3.1625211865736795e-06,18.06336370592935
10,10,10,10,10,10,10,10,10,10.0,NGC4222                        ,562.8,31.476,19.733312795365006,1.8772987277751996e-06,19.733275750111545
11,11,11,11,11,11,11,11,11,11.0,NGC4224                        ,2930.8,33.807,57.729792964823446,9.776096502067441e-06,57.729228598313675
12,12,12,12,12,12,12,12,12,12.0,NGC4216                        ,467.8,30.7,13.803842646028867,1.5604128373369554e-06,13.803821106369208
13,13,13,13,13,13,13,13,13,13.0,NGC4289                        ,2956.7,33.274,45.16479049291118,9.86248960272376e-06,45.16434506002761
14,14,14,14,14,14,14,14,14,14.0,PGC039894                      ,1269.8,32.58,32.809529311311906,4.235596880826134e-06,32.8093903439605
15,15,15,15,15,15,15,15,15,15.0,PGC040045                      ,1622.6,29.84,9.289663867799383,5.412411008685215e-06,9.28961358859253
16,16,16,16,16,16,16,16,16,16.0,NGC4321                        ,1898.4,31.014,15.951443869275984,6.332380783241719e-06,15.951342859298993
17,17,17,17,17,17,17,17,17,17.0,NGC4316                        ,1589.4,32.109,26.411921632717398,5.301667729079429e-06,26.41178160622719
18,18,18,18,18,18,18,18,18,18.0,IC3239                         ,1076.9,31.493,19.88840705173644,3.5921517411888996e-06,19.88833560981705
